acc_rating;amen;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price
10;[1, 3, 4, 8, 30, 33, 34, 35, 37, 39, 40, 41, 43, 44, 45, 46, 47, 50, 51, 54];Real Bed;3;10;10;10;99;9067632;False;False;10;37.74389699038349;-122.4254731033159;p3;1;24;Private room;332;10;58;76.0
10;[3, 4, 8, 12, 17, 18, 31, 35, 36, 43];Real Bed;3;10;10;10;93;12026856;True;False;10;37.74538810648193;-122.43045950466845;p3;2;6;Private room;905;10;85;85.0
10;[1, 4, 8, 16, 30, 33, 34, 35, 37, 39, 40, 41, 44, 45, 46, 47, 49];Real Bed;4;10;10;10;100;16333539;False;False;10;37.75241526531528;-122.41587968949058;p3;2;13;Private room;144;10;9;59.0
10;[3, 4, 8, 9, 27, 30, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 47, 49];Real Bed;4;10;10;10;100;16483113;False;False;10;37.71517262910325;-122.45367220703315;p3;2;9;Private room;31;10;1;79.0
10;[1, 3, 4, 5, 8, 30, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 50, 56, 57];Real Bed;4;10;10;10;99;7957587;False;True;10;37.75912537022761;-122.39644165624728;p3;2;7;Private room;152;10;17;155.0
10;[1, 3, 4, 6, 8, 9, 15, 16, 17, 18, 27, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47];Real Bed;4;10;9;10;100;5643083;False;False;10;37.746783547251844;-122.44246429202435;p3;4;16;Private room;56;10;5;170.0
10;[3, 4, 8, 30, 35, 36, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50];Real Bed;4;10;10;10;100;16202617;True;False;10;37.758072138997655;-122.42156037165152;p3;2;7;Private room;13;10;2;150.0
;[1, 3, 4, 7, 8, 14, 15, 18, 21, 25, 30, 33, 34, 35, 36, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50];Real Bed;4;;;;;10126934;False;False;;37.77717043511366;-122.39432481117136;p3;2;13;Private room;26;;0;150.0
10;[3, 4, 6, 8, 15, 21, 28, 30, 33, 34, 35, 36, 40, 41, 44, 45, 46, 47, 49, 50, 51, 54];Real Bed;4;9;10;10;100;15311518;False;False;10;37.77651779696312;-122.41616493137452;p3;2;25;Private room;58;10;7;140.0
10;[3, 4, 8, 21, 30, 33, 34, 35, 36, 41, 44, 47, 49, 50];Real Bed;4;10;10;10;94;15354291;True;False;9;37.7733544481957;-122.42366744936135;p3;2;9;Private room;122;10;10;175.0
10;[1, 3, 4, 8, 30, 33, 34, 35, 36, 37, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50];Real Bed;5;10;9;10;97;14507492;False;True;10;37.78158432428077;-122.44033160145862;p3;2;17;Private room;45;10;6;140.0
